Category,EndpointUri,Method,Function,Complete,Notes
Alert,/alert/dismiss/{id},POST,Clear-AuvikAlert,YES,
Alert,/alert/history/info,GET,Get-AuvikAlert,YES,
Alert,/alert/history/info/{id},GET,Get-AuvikAlert,YES,
Billing,/billing/usage/client,GET,Get-AuvikBilling,YES,
Billing,/billing/usage/device/{id},GET,Get-AuvikBilling,YES,
ClientManagement,/tenants,GET,Get-AuvikTenant,YES,
ClientManagement,/tenants/detail,GET,Get-AuvikTenant,YES,
ClientManagement,/tenants/detail/{id},GET,Get-AuvikTenant,YES,
Internal,,POST,Add-AuvikAPIKey,YES,
Internal,,POST,Add-AuvikBaseURI,YES,
Internal,,PUT,ConvertTo-AuvikQueryString,YES,
Internal,,GET,Export-AuvikModuleSetting,YES,
Internal,,GET,Get-AuvikAPIKey,YES,
Internal,,GET,Get-AuvikBaseURI,YES,
Internal,,GET,Get-AuvikMetaData,YES,
Internal,,GET,Get-AuvikModuleSetting,YES,
Internal,,GET,Import-AuvikModuleSetting,YES,
Internal,,GET,Invoke-AuvikRequest,YES,
Internal,,DELETE,Remove-AuvikAPIKey,YES,
Internal,,DELETE,Remove-AuvikBaseURI,YES,
Internal,,DELETE,Remove-AuvikModuleSetting,YES,
Internal,,POST,Set-AuvikAPIKey,YES,Alias of Add-AuvikAPIKey 
Internal,,POST,Set-AuvikBaseURI,YES,Alias of Add-AuvikBaseUri
Internal,,POST,New-AuvikAESSecret,YES,
Internal,,GET,Test-AuvikAPICredential,YES,
Inventory,/inventory/component/info,GET,Get-AuvikComponent,YES,
Inventory,/inventory/component/info/{id},GET,Get-AuvikComponent,YES,
Inventory,/inventory/configuration,GET,Get-AuvikConfiguration,YES,
Inventory,/inventory/configuration/{id},GET,Get-AuvikConfiguration,YES,
Inventory,/inventory/device/detail,GET,Get-AuvikDevice,YES,
Inventory,/inventory/device/detail/{id},GET,Get-AuvikDevice,YES,
Inventory,/inventory/device/detail/extended,GET,Get-AuvikDevice,YES,
Inventory,/inventory/device/detail/extended/{id},GET,Get-AuvikDevice,YES,
Inventory,/inventory/device/info,GET,Get-AuvikDevice,YES,
Inventory,/inventory/device/info/{id},GET,Get-AuvikDevice,YES,
Inventory,/inventory/device/lifecycle,GET,Get-AuvikDeviceLifecycle,YES,
Inventory,/inventory/device/lifecycle/{id},GET,Get-AuvikDeviceLifecycle,YES,
Inventory,/inventory/device/warranty,GET,Get-AuvikDeviceWarranty,YES,
Inventory,/inventory/device/warranty/{id},GET,Get-AuvikDeviceWarranty,YES,
Inventory,/inventory/entity/audit,GET,Get-AuvikEntity,YES,
Inventory,/inventory/entity/audit/{id},GET,Get-AuvikEntity,YES,
Inventory,/inventory/entity/note,GET,Get-AuvikEntity,YES,
Inventory,/inventory/entity/note/{id},GET,Get-AuvikEntity,YES,
Inventory,/inventory/interface/info,GET,Get-AuvikInterface,YES,
Inventory,/inventory/interface/info/{id},GET,Get-AuvikInterface,YES,
Inventory,/inventory/network/detail,GET,Get-AuvikNetwork,YES,
Inventory,/inventory/network/detail/{id},GET,Get-AuvikNetwork,YES,
Inventory,/inventory/network/info,GET,Get-AuvikNetwork,YES,
Inventory,/inventory/network/info/{id},GET,Get-AuvikNetwork,YES,
Other,/authentication/verify,GET,Get-AuvikCredential,YES,
Pollers,/settings/snmppoller/{snmpPollerSettingId}/devices,GET,Get-AuvikSNMPPollerDevice,YES,
Pollers,/settings/snmppoller,GET,Get-AuvikSNMPPollerSetting,YES,
Pollers,/settings/snmppoller/{snmpPollerSettingId},GET,Get-AuvikSNMPPollerSetting,YES,
Pollers,/stat/snmppoller/int,GET,Get-AuvikSNMPPollerHistory,YES,
Pollers,/stat/snmppoller/string,GET,Get-AuvikSNMPPollerHistory,YES,
Statistics,/stat/component/{componentType}/{statId},GET,Get-AuvikComponentStatistics,YES,
Statistics,/stat/deviceAvailability/{statId},GET,Get-AuvikDeviceAvailabilityStatistics,YES,
Statistics,/stat/device/{statId},GET,Get-AuvikDeviceStatistics,YES,
Statistics,/stat/interface/{statId},GET,Get-AuvikInterfaceStatistics,YES,
Statistics,/stat/oid/{statId},GET,Get-AuvikOIDStatistics,YES,
Statistics,/stat/service/{statId},GET,Get-AuvikServiceStatistics,YES,
SaaSManagement,/asm/app/info,GET,Get-AuvikASMApplication,YES,Cannot fully validate at this time
SaaSManagement,/asm/client/info,GET,Get-AuvikASMClient,YES,Cannot fully validate at this time
SaaSManagement,/asm/securityLog/info,GET,Get-AuvikASMSecurityLog,YES,Cannot fully validate at this time
SaaSManagement,/asm/tag/info,GET,Get-AuvikASMTag,YES,Cannot fully validate at this time
SaaSManagement,/asm/user/info,GET,Get-AuvikASMUser,YES,Cannot fully validate at this time
